id_x,courseId,enrollmentDate,completionStatus,completionDate,percentage,userId,learningPathId,name,employeeId,organizationDomainId_x,roleId,joiningDate,designationId,departmentId,id_y,title,duration,difficultyLevel,organizationDomainId_y,id,completionTime,performanceScore,organizationDomainId
29,7,2022-04-24,In Progress,,40,EMP0770,,Jonathan Parsons,EMP0770,2,2,2024-06-19,2,2,7,Course 7,77,Beginner,1,,,,
30,28,2024-06-15,In Progress,,25,EMP0229,,Michael Wagner,EMP0229,2,2,2020-08-16,1,1,28,Course 28,86,Beginner,2,,,,
31,13,2019-12-28,In Progress,,33,EMP0245,9.0,George Anderson,EMP0245,2,1,2023-09-30,1,1,13,Course 13,54,Beginner,2,,,,
32,12,2021-04-18,In Progress,,42,EMP0009,,Jennifer Massey,EMP0009,1,2,2021-12-04,2,1,12,Course 12,114,Advanced,1,,,,
33,41,2023-01-24,Completed,2024-07-11,97,EMP0158,,Robert Chang,EMP0158,1,1,2024-05-05,1,2,41,Course 41,115,Advanced,1,,,,
34,25,2024-10-06,In Progress,,38,EMP0690,,Sara King,EMP0690,2,1,2023-04-27,1,1,25,Course 25,83,Advanced,1,,,,
35,30,2022-07-18,In Progress,,12,EMP0414,9.0,Juan Gallagher,EMP0414,2,1,2021-06-22,1,1,30,Course 30,46,Intermediate,2,,,,
36,31,2020-02-19,Completed,2022-04-14,98,EMP0277,,Gabriel Callahan,EMP0277,1,2,2024-03-01,1,2,31,Course 31,57,Intermediate,1,,,,
37,50,2023-12-18,In Progress,,8,EMP0670,6.0,Katelyn White,EMP0670,2,2,2020-06-15,2,1,50,Course 50,87,Intermediate,2,,,,
38,47,2020-12-04,In Progress,,36,EMP0447,2.0,Christina Best,EMP0447,1,1,2023-10-23,2,1,47,Course 47,88,Intermediate,1,,,,
39,10,2024-02-13,In Progress,,11,EMP0430,,Joshua Bond,EMP0430,1,1,2020-02-29,1,1,10,Course 10,88,Advanced,2,,,,
40,43,2021-10-25,In Progress,,17,EMP0234,1.0,John Brooks,EMP0234,2,1,2023-04-04,1,2,43,Course 43,115,Intermediate,1,,,,
41,45,2021-09-15,In Progress,,18,EMP0847,,Donna Gonzalez,EMP0847,1,2,2019-10-31,2,2,45,Course 45,51,Intermediate,2,,,,
42,46,2024-07-24,Completed,2024-08-12,90,EMP0079,4.0,Cory Brooks,EMP0079,1,1,2023-06-19,1,1,46,Course 46,110,Intermediate,1,,,,
43,20,2020-08-30,Completed,2023-11-16,93,EMP0194,3.0,David Bond,EMP0194,1,1,2024-08-29,1,1,20,Course 20,53,Intermediate,2,,,,
44,13,2020-10-23,In Progress,,22,EMP0490,6.0,Michael Barber,EMP0490,2,2,2021-05-14,1,2,13,Course 13,54,Beginner,2,,,,
45,1,2020-05-10,In Progress,,33,EMP0132,1.0,Steven Baldwin,EMP0132,1,2,2021-04-21,2,2,1,Course 1,107,Intermediate,2,,,,
46,10,2020-01-06,In Progress,,45,EMP0265,,Brittany Mcdaniel,EMP0265,2,1,2023-07-21,1,1,10,Course 10,88,Advanced,2,,,,
47,49,2024-06-11,In Progress,,37,EMP0784,,Christopher Burnett,EMP0784,1,1,2022-03-12,2,2,49,Course 49,62,Beginner,2,,,,
48,23,2019-11-15,In Progress,,13,EMP0226,1.0,Mason West,EMP0226,1,2,2023-08-04,2,1,23,Course 23,41,Intermediate,1,,,,
49,1,2022-07-07,Completed,2024-08-02,64,EMP0974,,Susan Zamora,EMP0974,2,2,2024-09-01,2,1,1,Course 1,107,Intermediate,2,,,,
50,9,2019-10-21,In Progress,,48,EMP0497,10.0,Michael Holland,EMP0497,1,2,2021-08-16,2,1,9,Course 9,47,Advanced,2,,,,
51,25,2022-08-20,Completed,2023-12-26,92,EMP0847,5.0,Donna Gonzalez,EMP0847,1,2,2019-10-31,2,2,25,Course 25,83,Advanced,1,,,,
52,14,2024-06-20,In Progress,,50,EMP0717,9.0,Wyatt Figueroa,EMP0717,2,2,2024-06-21,1,1,14,Course 14,118,Beginner,2,,,,
53,43,2023-05-18,In Progress,,29,EMP0946,6.0,Daniel Johnson,EMP0946,1,1,2022-07-26,2,1,43,Course 43,115,Intermediate,1,,,,
54,40,2023-04-14,In Progress,,28,EMP0144,,Anthony Brown,EMP0144,2,1,2024-08-20,2,1,40,Course 40,68,Beginner,2,,,,
55,44,2020-09-08,In Progress,,43,EMP0050,,Luis Mcdonald,EMP0050,1,2,2022-04-06,2,1,44,Course 44,70,Beginner,1,,,,
56,40,2022-04-24,Completed,2023-02-26,69,EMP0146,7.0,Cynthia Page,EMP0146,1,2,2023-06-23,2,2,40,Course 40,68,Beginner,2,,,,
57,38,2020-09-07,In Progress,,26,EMP0060,9.0,Kenneth Phelps,EMP0060,2,1,2023-06-03,1,1,38,Course 38,72,Beginner,2,,,,
58,26,2023-09-25,In Progress,,37,EMP0583,4.0,Tiffany Beard,EMP0583,2,1,2020-11-23,2,2,26,Course 26,110,Beginner,2,,,,
59,3,2023-06-03,In Progress,,6,EMP0315,,Melissa Howell,EMP0315,2,1,2022-06-26,1,1,3,Course 3,54,Advanced,2,,,,
60,34,2024-03-26,In Progress,,33,EMP0373,8.0,Katelyn Mendoza,EMP0373,1,1,2023-08-29,2,2,34,Course 34,81,Advanced,1,,,,
61,8,2023-04-30,In Progress,,45,EMP0859,,Tamara Bernard,EMP0859,2,2,2024-02-02,2,1,8,Course 8,110,Advanced,1,,,,
62,3,2024-07-31,Completed,2024-08-25,76,EMP0106,4.0,Deborah Anderson,EMP0106,1,1,2023-06-20,2,2,3,Course 3,54,Advanced,2,,,,
63,25,2023-03-17,In Progress,,48,EMP0401,,Evan Burns,EMP0401,2,2,2022-08-28,1,1,25,Course 25,83,Advanced,1,,,,
64,31,2022-06-17,In Progress,,11,EMP0766,9.0,Jennifer James,EMP0766,1,2,2024-06-17,1,1,31,Course 31,57,Intermediate,1,,,,
65,48,2021-04-25,Completed,2024-09-19,84,EMP0048,2.0,Brandon Mahoney,EMP0048,2,1,2022-11-16,1,1,48,Course 48,37,Advanced,1,,,,
66,6,2023-10-21,Completed,2024-10-11,58,EMP0660,,Courtney Carlson,EMP0660,1,1,2023-11-10,1,1,6,Course 6,37,Advanced,2,,,,
67,50,2024-09-28,In Progress,,15,EMP0946,,Daniel Johnson,EMP0946,1,1,2022-07-26,2,1,50,Course 50,87,Intermediate,2,,,,
68,50,2024-03-12,In Progress,,44,EMP0552,,Lisa Hines,EMP0552,2,1,2021-10-14,2,1,50,Course 50,87,Intermediate,2,,,,
69,23,2020-02-17,In Progress,,32,EMP0461,,Sarah Peterson,EMP0461,2,2,2022-02-02,1,1,23,Course 23,41,Intermediate,1,524.0,52h,89.06,2.0
70,4,2021-02-11,In Progress,,16,EMP0567,10.0,Brian Fuller,EMP0567,1,1,2021-10-26,2,2,4,Course 4,55,Intermediate,2,,,,
71,47,2022-05-11,In Progress,,28,EMP0325,2.0,Brandy Pugh,EMP0325,2,2,2020-05-10,1,1,47,Course 47,88,Intermediate,1,,,,
72,5,2022-07-03,In Progress,,11,EMP0822,,Nicole Hall,EMP0822,1,1,2021-01-08,2,2,5,Course 5,50,Beginner,1,,,,
73,46,2020-04-07,Completed,2023-08-31,68,EMP0892,3.0,Robert Deleon,EMP0892,2,2,2020-11-22,2,1,46,Course 46,110,Intermediate,1,,,,
74,5,2022-07-05,Completed,2023-03-09,65,EMP0208,,Joshua Christensen,EMP0208,1,1,2023-09-21,2,2,5,Course 5,50,Beginner,1,,,,
75,7,2023-07-19,Completed,2023-10-24,62,EMP0607,6.0,John Mayo,EMP0607,1,2,2021-01-22,2,2,7,Course 7,77,Beginner,1,,,,
76,27,2019-12-18,In Progress,,4,EMP0267,9.0,April Miller,EMP0267,2,2,2024-07-17,1,2,27,Course 27,91,Intermediate,2,,,,
77,45,2020-03-21,In Progress,,20,EMP0113,2.0,Janice Weber PhD,EMP0113,1,2,2024-03-01,2,1,45,Course 45,51,Intermediate,2,,,,
78,6,2023-06-18,Completed,2023-06-27,78,EMP0646,,Ashley Park,EMP0646,2,2,2024-07-27,2,1,6,Course 6,37,Advanced,2,,,,
79,40,2023-10-16,In Progress,,5,EMP0135,1.0,Brian Wells,EMP0135,1,1,2022-05-31,1,2,40,Course 40,68,Beginner,2,,,,
80,7,2023-10-17,Completed,2024-10-08,59,EMP0661,6.0,Chad Brown Jr.,EMP0661,2,1,2024-05-14,2,1,7,Course 7,77,Beginner,1,,,,
81,9,2023-03-12,Completed,2023-10-19,51,EMP0603,,Rebecca Clements,EMP0603,2,1,2022-11-15,1,2,9,Course 9,47,Advanced,2,,,,
82,17,2022-04-07,Completed,2022-08-28,51,EMP0736,1.0,Hannah Collier,EMP0736,1,1,2019-11-27,2,1,17,Course 17,45,Intermediate,2,,,,
83,19,2022-09-01,Completed,2023-12-06,71,EMP0857,8.0,Andrew Johnson,EMP0857,1,2,2021-10-05,2,1,19,Course 19,86,Intermediate,1,,,,
84,45,2023-05-25,In Progress,,28,EMP0953,7.0,James Miles,EMP0953,1,2,2020-02-22,1,1,45,Course 45,51,Intermediate,2,,,,
85,17,2020-10-30,In Progress,,37,EMP0931,,Jerry Mills,EMP0931,2,1,2023-01-30,2,2,17,Course 17,45,Intermediate,2,,,,
86,12,2021-09-25,In Progress,,7,EMP0934,3.0,Kristen Bryant,EMP0934,2,1,2023-07-02,1,1,12,Course 12,114,Advanced,1,,,,
87,4,2024-08-20,In Progress,,37,EMP0433,5.0,Kevin Mcdowell,EMP0433,2,1,2022-01-13,1,1,4,Course 4,55,Intermediate,2,,,,
88,32,2022-03-31,In Progress,,16,EMP0138,,Jennifer Callahan,EMP0138,1,1,2021-10-16,2,1,32,Course 32,64,Advanced,1,,,,
89,16,2024-06-06,Completed,2024-09-14,87,EMP0006,,Christopher Austin,EMP0006,1,1,2020-05-26,2,1,16,Course 16,51,Advanced,1,,,,
90,14,2021-11-02,In Progress,,1,EMP0112,5.0,John Kline,EMP0112,1,2,2024-07-11,2,1,14,Course 14,118,Beginner,2,,,,
91,6,2022-09-17,Completed,2024-03-01,63,EMP0614,,Nancy Anderson,EMP0614,1,1,2021-02-25,2,2,6,Course 6,37,Advanced,2,,,,
92,25,2022-05-25,Completed,2023-09-20,57,EMP0325,,Brandy Pugh,EMP0325,2,2,2020-05-10,1,1,25,Course 25,83,Advanced,1,,,,
93,19,2020-09-22,Completed,2021-01-24,60,EMP0204,,Emily Bush,EMP0204,1,2,2022-09-16,1,2,19,Course 19,86,Intermediate,1,,,,
94,35,2024-03-27,Completed,2024-09-05,91,EMP0958,,James Cooper,EMP0958,1,1,2021-12-27,1,1,35,Course 35,56,Advanced,2,,,,
95,22,2023-05-25,Completed,2024-02-01,89,EMP0865,,Joseph Newman DDS,EMP0865,2,1,2020-12-27,2,1,22,Course 22,74,Beginner,2,,,,
96,26,2024-07-02,In Progress,,49,EMP0160,,Julia Schwartz,EMP0160,2,1,2022-03-04,2,2,26,Course 26,110,Beginner,2,,,,
97,49,2022-01-21,In Progress,,20,EMP0076,8.0,Keith Williams,EMP0076,1,2,2020-02-18,1,2,49,Course 49,62,Beginner,2,,,,
98,47,2022-10-13,In Progress,,30,EMP0143,7.0,Michael Smith,EMP0143,1,1,2020-09-12,1,2,47,Course 47,88,Intermediate,1,,,,
99,36,2022-06-11,Completed,2023-09-17,63,EMP0942,,Mike Knight,EMP0942,1,2,2022-11-25,2,2,36,Course 36,36,Beginner,2,,,,
100,3,2019-11-04,In Progress,,38,EMP0548,,Joshua Nguyen,EMP0548,2,1,2020-05-29,2,2,3,Course 3,54,Advanced,2,,,,
101,2,2020-06-14,Completed,2023-12-01,53,EMP0044,,Maria Hancock,EMP0044,1,2,2023-02-28,1,1,2,Course 2,102,Advanced,2,,,,
102,2,2020-04-14,In Progress,,38,EMP0164,5.0,Eric Ryan,EMP0164,1,1,2022-01-05,2,2,2,Course 2,102,Advanced,2,,,,
103,16,2020-08-23,In Progress,,27,EMP0759,,Christopher Thompson,EMP0759,2,2,2020-03-05,2,1,16,Course 16,51,Advanced,1,,,,
104,24,2022-10-12,Completed,2024-10-11,69,EMP0125,,Dennis Bright,EMP0125,2,1,2020-05-06,1,2,24,Course 24,115,Advanced,1,,,,
105,17,2021-01-28,In Progress,,3,EMP0873,3.0,Troy Taylor,EMP0873,1,1,2021-07-18,2,1,17,Course 17,45,Intermediate,2,,,,
106,17,2020-01-21,Completed,2023-04-16,92,EMP0354,,Elizabeth Perez,EMP0354,1,1,2024-01-25,1,2,17,Course 17,45,Intermediate,2,,,,
107,35,2023-10-29,Completed,2024-04-06,76,EMP0460,,James Freeman,EMP0460,1,2,2022-12-19,2,1,35,Course 35,56,Advanced,2,,,,
108,23,2024-09-19,Completed,2024-10-02,89,EMP0449,6.0,Katie Thomas,EMP0449,2,1,2020-07-02,2,2,23,Course 23,41,Intermediate,1,,,,
109,39,2022-04-06,Completed,2023-02-02,66,EMP0849,2.0,Lisa Guerra,EMP0849,2,2,2022-05-13,2,1,39,Course 39,102,Beginner,2,,,,
110,25,2019-11-19,In Progress,,36,EMP0695,,James Solis,EMP0695,2,2,2023-06-01,1,2,25,Course 25,83,Advanced,1,,,,
111,28,2021-07-14,Completed,2024-04-24,94,EMP0992,4.0,Nicole Bradley,EMP0992,1,1,2023-12-21,2,1,28,Course 28,86,Beginner,2,,,,
112,29,2024-09-05,Completed,2024-10-06,94,EMP0185,,Shannon Nielsen,EMP0185,2,1,2023-08-05,2,1,29,Course 29,92,Advanced,2,,,,
113,26,2021-05-27,In Progress,,37,EMP0338,,Michael Stokes,EMP0338,2,2,2020-10-11,1,2,26,Course 26,110,Beginner,2,,,,
114,46,2021-04-08,Completed,2022-05-10,62,EMP0135,5.0,Brian Wells,EMP0135,1,1,2022-05-31,1,2,46,Course 46,110,Intermediate,1,,,,
115,9,2023-08-02,Completed,2024-05-04,83,EMP0496,8.0,Jennifer Beltran,EMP0496,2,1,2020-02-01,2,1,9,Course 9,47,Advanced,2,,,,
116,5,2020-05-16,In Progress,,35,EMP0316,8.0,Jenna Dixon,EMP0316,2,1,2021-04-19,2,2,5,Course 5,50,Beginner,1,,,,
117,32,2022-06-05,Completed,2024-04-21,81,EMP0335,6.0,Karen Patrick,EMP0335,1,2,2024-04-10,2,2,32,Course 32,64,Advanced,1,,,,
118,19,2020-07-15,In Progress,,18,EMP0744,7.0,Juan Thomas,EMP0744,2,1,2023-12-12,2,1,19,Course 19,86,Intermediate,1,,,,
119,17,2021-11-27,In Progress,,34,EMP0477,5.0,Nicholas Harris,EMP0477,1,2,2022-11-19,2,1,17,Course 17,45,Intermediate,2,,,,
120,14,2023-06-14,In Progress,,38,EMP0469,,Edwin Clark,EMP0469,2,1,2020-02-25,1,2,14,Course 14,118,Beginner,2,,,,
121,28,2022-11-12,In Progress,,4,EMP0743,,Robert Garrett,EMP0743,1,1,2021-03-02,2,1,28,Course 28,86,Beginner,2,,,,
122,38,2021-07-01,Completed,2024-03-14,90,EMP0805,9.0,Lisa Scott,EMP0805,1,1,2021-06-06,2,1,38,Course 38,72,Beginner,2,,,,
123,9,2020-03-01,Completed,2021-04-06,98,EMP0427,,Charles Clark Jr.,EMP0427,1,1,2020-02-03,2,2,9,Course 9,47,Advanced,2,,,,
124,8,2020-04-08,Completed,2020-05-20,82,EMP0384,1.0,Leslie Bullock,EMP0384,2,1,2021-02-07,2,2,8,Course 8,110,Advanced,1,,,,
125,22,2020-08-09,Completed,2023-06-18,52,EMP0168,,Charles Murphy,EMP0168,1,2,2021-07-07,1,1,22,Course 22,74,Beginner,2,,,,
126,37,2020-10-04,Completed,2021-07-31,61,EMP0902,,Theresa Hernandez,EMP0902,2,1,2022-05-24,2,2,37,Course 37,92,Advanced,1,,,,
127,19,2020-04-03,Completed,2023-10-10,65,EMP0304,,Dana Ellis,EMP0304,2,2,2022-10-06,2,1,19,Course 19,86,Intermediate,1,,,,
128,9,2023-11-03,In Progress,,17,EMP0363,,Lisa Morales,EMP0363,2,2,2022-03-04,2,2,9,Course 9,47,Advanced,2,,,,
129,7,2021-06-10,In Progress,,46,EMP0587,6.0,Pamela Martinez,EMP0587,1,2,2020-09-05,1,1,7,Course 7,77,Beginner,1,,,,
130,23,2024-05-04,Completed,2024-07-17,90,EMP0703,,Roger Vargas,EMP0703,2,1,2019-12-10,1,2,23,Course 23,41,Intermediate,1,,,,
131,8,2021-11-21,Completed,2023-02-18,75,EMP0882,4.0,Kelli Hardy,EMP0882,1,2,2022-01-28,1,2,8,Course 8,110,Advanced,1,,,,
132,37,2020-10-15,Completed,2022-08-12,55,EMP0410,,Jaclyn Johnson,EMP0410,2,2,2024-02-04,1,2,37,Course 37,92,Advanced,1,,,,
133,28,2021-06-07,Completed,2024-08-01,94,EMP0093,,Hannah Vasquez,EMP0093,2,2,2021-07-14,2,1,28,Course 28,86,Beginner,2,,,,
134,48,2022-05-13,Completed,2024-04-17,52,EMP0398,,Allison Figueroa,EMP0398,1,2,2020-07-28,1,2,48,Course 48,37,Advanced,1,,,,
135,7,2019-10-17,Completed,2024-05-04,98,EMP0474,,Kevin Ibarra,EMP0474,2,1,2023-11-14,2,2,7,Course 7,77,Beginner,1,,,,
136,9,2021-11-14,Completed,2022-06-14,98,EMP0020,6.0,Laura Smith,EMP0020,2,1,2022-06-19,2,1,9,Course 9,47,Advanced,2,,,,
137,1,2023-03-07,In Progress,,3,EMP0419,,Cameron Thompson,EMP0419,1,2,2022-06-15,2,1,1,Course 1,107,Intermediate,2,,,,
138,49,2023-04-25,In Progress,,43,EMP0345,5.0,Shawn Brown,EMP0345,2,2,2023-08-30,1,2,49,Course 49,62,Beginner,2,,,,
139,18,2021-07-14,In Progress,,26,EMP0533,6.0,Brenda Smith,EMP0533,2,1,2021-04-26,1,2,18,Course 18,68,Advanced,2,,,,
140,33,2023-02-18,In Progress,,49,EMP0210,,Jennifer Barnes,EMP0210,2,2,2023-08-11,2,2,33,Course 33,74,Advanced,2,,,,
141,24,2021-06-26,Completed,2023-05-18,55,EMP0435,4.0,Angela Arnold,EMP0435,1,1,2021-12-03,1,1,24,Course 24,115,Advanced,1,,,,
142,7,2020-06-22,Completed,2023-12-03,81,EMP0824,10.0,Robert Pearson,EMP0824,2,2,2023-07-06,2,1,7,Course 7,77,Beginner,1,,,,
143,48,2022-10-19,Completed,2022-12-04,52,EMP0760,,Destiny Hahn,EMP0760,1,2,2020-07-01,1,1,48,Course 48,37,Advanced,1,,,,
144,2,2024-03-08,In Progress,,47,EMP0142,9.0,Lindsey Gibson,EMP0142,1,2,2022-07-02,1,2,2,Course 2,102,Advanced,2,,,,
145,39,2023-12-03,In Progress,,37,EMP0597,8.0,John Harris,EMP0597,1,2,2020-10-29,1,1,39,Course 39,102,Beginner,2,,,,
146,12,2022-12-29,In Progress,,2,EMP0584,1.0,Mary Lopez,EMP0584,1,1,2024-08-28,1,2,12,Course 12,114,Advanced,1,,,,
147,14,2021-10-23,In Progress,,11,EMP0189,,John Bates,EMP0189,2,1,2021-06-08,1,1,14,Course 14,118,Beginner,2,,,,
148,33,2024-09-06,In Progress,,6,EMP0082,3.0,Sheena Davidson,EMP0082,1,1,2021-01-09,2,2,33,Course 33,74,Advanced,2,,,,
149,40,2020-06-18,Completed,2022-12-13,87,EMP0289,8.0,Andrew Johnson,EMP0289,2,2,2022-09-06,2,2,40,Course 40,68,Beginner,2,,,,
150,27,2020-11-15,In Progress,,17,EMP0384,10.0,Leslie Bullock,EMP0384,2,1,2021-02-07,2,2,27,Course 27,91,Intermediate,2,,,,
151,15,2022-10-19,Completed,2024-01-27,78,EMP0921,,Andrea Weber,EMP0921,1,2,2019-12-19,2,2,15,Course 15,41,Advanced,1,,,,
152,40,2022-10-03,In Progress,,20,EMP0696,8.0,Gina Fields,EMP0696,1,2,2021-01-14,1,2,40,Course 40,68,Beginner,2,,,,
153,40,2020-06-30,Completed,2021-01-03,51,EMP0256,10.0,Vincent May,EMP0256,2,2,2021-12-25,2,2,40,Course 40,68,Beginner,2,,,,
154,1,2020-06-10,Completed,2021-02-10,96,EMP0201,,Matthew Clarke,EMP0201,1,1,2022-02-19,2,1,1,Course 1,107,Intermediate,2,,,,
155,32,2020-11-16,Completed,2023-07-05,72,EMP0440,5.0,Deborah Washington,EMP0440,2,1,2021-08-24,2,2,32,Course 32,64,Advanced,1,,,,
156,23,2021-05-15,Completed,2021-07-08,60,EMP0705,10.0,Rose Scott,EMP0705,2,1,2023-02-02,2,2,23,Course 23,41,Intermediate,1,,,,
157,11,2020-09-29,Completed,2022-10-18,55,EMP0035,,Sandra Howe,EMP0035,1,2,2023-04-19,2,1,11,Course 11,42,Beginner,1,,,,
158,1,2024-05-24,Completed,2024-07-12,71,EMP0227,9.0,Megan Ramirez,EMP0227,1,1,2022-01-04,1,1,1,Course 1,107,Intermediate,2,,,,
159,32,2024-05-05,Completed,2024-10-04,65,EMP0525,5.0,Anthony Austin,EMP0525,1,2,2020-08-30,2,2,32,Course 32,64,Advanced,1,,,,
160,39,2022-09-19,In Progress,,17,EMP0391,2.0,Eric Ellison,EMP0391,2,2,2021-12-17,1,2,39,Course 39,102,Beginner,2,,,,
161,47,2019-10-28,Completed,2021-09-08,50,EMP0234,6.0,John Brooks,EMP0234,2,1,2023-04-04,1,2,47,Course 47,88,Intermediate,1,,,,
162,12,2023-12-21,Completed,2024-06-15,90,EMP0498,7.0,Lacey Larsen,EMP0498,2,2,2022-09-29,2,2,12,Course 12,114,Advanced,1,,,,
163,47,2024-05-04,In Progress,,2,EMP0865,,Joseph Newman DDS,EMP0865,2,1,2020-12-27,2,1,47,Course 47,88,Intermediate,1,,,,
164,35,2020-10-06,Completed,2023-03-17,55,EMP0958,,James Cooper,EMP0958,1,1,2021-12-27,1,1,35,Course 35,56,Advanced,2,,,,
165,14,2022-01-04,In Progress,,32,EMP0843,,Barbara Montgomery,EMP0843,2,2,2020-01-04,2,1,14,Course 14,118,Beginner,2,,,,
166,19,2024-03-28,Completed,2024-07-20,92,EMP0363,1.0,Lisa Morales,EMP0363,2,2,2022-03-04,2,2,19,Course 19,86,Intermediate,1,,,,
167,1,2023-03-12,Completed,2023-04-17,83,EMP0799,,Joseph Harrison,EMP0799,2,1,2019-11-03,1,2,1,Course 1,107,Intermediate,2,,,,
168,27,2022-07-30,Completed,2023-11-15,95,EMP0929,,Mark Evans,EMP0929,1,1,2021-05-28,1,1,27,Course 27,91,Intermediate,2,,,,
169,4,2022-01-08,In Progress,,47,EMP0550,6.0,Darlene Carrillo,EMP0550,1,2,2022-02-17,2,1,4,Course 4,55,Intermediate,2,,,,
170,37,2021-07-24,In Progress,,44,EMP0568,,Patrick Shannon,EMP0568,2,1,2022-10-28,2,1,37,Course 37,92,Advanced,1,,,,
171,34,2022-11-20,Completed,2024-05-16,75,EMP0099,,Darlene Cruz,EMP0099,2,2,2021-06-12,1,1,34,Course 34,81,Advanced,1,,,,
172,44,2020-04-01,Completed,2024-03-05,56,EMP0126,,Elaine Lynn,EMP0126,1,2,2023-06-01,1,2,44,Course 44,70,Beginner,1,,,,
